
# best results with the Net Condition mutation operator:

Network's routers:

#	(x                  , y)

87	(0.569990475063223 , 0.350114720477648)
88	(0.889878139352636 , 0.815871572803206)
89	(0.333137106595211 , 0.424192307057117)
90	(0.239516726619484 , 0.506603487988482)
91	(0.565405909458442 , 0.572914630518369)
92	(0.687695576594576 , 0.608222879022862)
93	(0.604373798350984 , 0.291258333783103)
94	(0.462791009408748 , 0.549697180296835)
95	(0.424179245461017 , 0.510325009216267)
96	(0.355353105623841 , 0.619069810267267)
97	(0.454087566009716 , 0.645803526918896)
98	(0.374938930897584 , 0.727221000652281)
99	(0.792614927124527 , 0.694633879642389)
100	(0.125294047012071 , 0.162488749561812)
101	(0.642143091934962 , 0.686235961145812)
102	(0.643765400201327 , 0.746652315386843)
103	(0.327035664727290 , 0.381213654116543)
104	(0.390365730144529 , 0.290289290333767)
105	(0.550033569488701 , 0.513862013507941)
106	(0.649441581659364 , 0.587898870245852)
107	(0.602500448158675 , 0.451214674264844)
108	(0.629329745339384 , 0.448205700055771)
109	(0.686201221515122 , 0.447953949865601)
110	(0.756630544612713 , 0.762339192353427)
111	(0.155051623570014 , 0.822410548910882)
112	(0.317546559671085 , 0.226985025861313)
